Offical Number,Release Date (m/d/y),Title,Guest(s),Length,Listens*,Category,Format,Panel,Guest Location,Venue,Link,Description,Notes,Total Number
267,3/2/2023,News and Numbers on the East Palestine Train Derailment,,15:58:00,"1,264",Environment,Short,"John, Rosemary",United States,Studio,https://statsandstories.net/environment1/news-and-numbers-on-the-east-palestine-train-derailment,"Residents of East Palestine, Ohio continue to worry about the health of their community after a Norfolk Southern train derailment. The train was carrying toxic chemicals and the Ohio Department of Natural Resources says more than 45,000 Animals have died as a result of the derailment. Residents are concerned that chemicals that leaked from the train and that entered the atmosphere as a result of a derailment related fire have made their land and their water unsafe. Ohio authorities though say East Palestine water is safe to drink. news coverage of the crisis is the focus of this episode of Stats+Stories.",,282
266,2/23/2023,Instrumental Activities of Daily Living,Bob Applebaum,28:39:00,"1,676",Society,Long,"John, Rosemary",United States,Studio,https://statsandstories.squarespace.com/society1/instrumental-activities-of-daily-living,"According to AARP, 70% of Americans who live to be 65 will need long term care at some point, though what kind of long term care depends upon an individual's physical, emotional, and mental health. A project at Miami University has been studying long term care and that's the focus of this episode of Stats and Stories with guest Bob Applebaum.",,281
265,2/16/2023,Stats+Stories Valentine's Day Special,"David Spiegelhalter, Ty Tashiro",58:14:00,"1,720",Entertainment,Special,Rosemary,"United States, United Kingdom",Zoom,,"Ty Tashiro (@tytashiro) is an author and relationship expert. He wrote Awkward: The Science of Why We're Socially Awkward and Why That's Awesome and The Science of Happily Ever After . His work has been featured at the New York Times, Time.com, TheAtlantic.com, NPR, Sirius XM Stars radio, and VICE. He received his Ph.D. in Psychology from the University of Minnesota, has been an award-winning professor at the University of Maryland and University of Colorado, and has addressed TED@NYC, Harvard Business School, MIT's Media Lab, and the American Psychological Association. Sir David Spiegelhalter (@d_spiegel) is the Chair of the Winton Centre for Risk and Evidence Communication and has dedicated his work to improving the way that quantitative evidence is used in society. He is the former President of the Royal Statistical Society as well as a three-time former guest on Stats and Stories.",,280
264,2/9/2023,Careers in Rom Coms,Veronica Carlan,28:15:00,"1,309",Entertainment,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/entertainment1/careers-in-rom-coms,"Romantic comedies are rife with plucky heroines. Small bookstore owners are being pushed out by big corporations, runaway brides, and Perpetual bridesmaids. But where are the scientists, microbiologists and engineers, and statisticians? One researcher went looking for them, which is the focus of this episode of Stats+Stories with guest Veronica Carlan.",,279
263,2/2/2023,Myaamia Data and More,Haley Shea,26:41:00,"1,479",Society,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/society1/myaamia-data-and-more,"Native communities around the world are looking for ways to maintain their culture and their language. Meanwhile, some colleges and universities in the U.S. are trying to come to terms with the fact that their campuses are located on what were once tribal lands. The Myaamia Center at Miami University is a partnership between the Miami Tribe of Oklahoma and the university which works to preserve the Myaamia culture and language while also exposing undergraduate and graduate students to those efforts. The Center's work is the focus of this episode of stats and stories with guest Haley Shea.",,278
262,1/26/2023,Rewards Points vs. Privacy,Claire McKay Bowen,4:50:00,"1,557",Methods,Short,John,United States,Zoom,https://statsandstories.net/methods/rewards-points-vs-privacy,"Everyone can relate to being in a rush and needing to get just one last item from the store. However, upon reaching the checkout line, after being asked the all too often refrain of, “can I get your loyalty card or phone number” you may wonder why is this information so important to a store. The annoyance and potential ramifications of giving up your data so freely is the focus of this episode of Stats+Stories with guest Claire McKay Bowen.",,277
,1/19/2023,My Headline is Better Contest Winner,Daniel Gaichas,6:42:00,"1,581",Special,Short,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/my-headline-is-better-contest-winner,"Stats and Stories recently marked its 250th episode with a contest. We asked you to share with us(via Twitter or email) a stat-related story with a headline you didn’t like and then a new headline that you thought was better. We had a number of great entries, including another stats haiku, but there can be only one winner and they’re joining us on this episode of Stats and Short Stories with Dan Gaichas.",,276
261,1/12/2023,LISA ColLABorations,"Eric Vance, Olawale Awe",26:15:00,"1,907",Education,Long,"John, Rosemary","United States, Nigeria",Zoom,https://statsandstories.net/education1/lisa-collaborations,"In many countries in the Global South, partnerships and collaborations are crucial to moving forward projects of various kinds. A network based at the University of Colorado Boulder has facilitated the creation of statistics and data science collaboration labs in 10 countries, The LISA 2020 Global Network and it's efforts are the focus of this episode of Stats+Stories with guests Eric Vance and Olawale Awe.",,275
260,1/5/2023,A News and Numbers Alum,Austin Fast,28:41:00,"2,067",Media,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/media1/a-news-and-numbers-alum,"Data have always been important to the work of journalists.  from Jacob Riis’ reporting on how the other half lived in late 1800s New York City,  to stories about gun violence in 2022, journalists need numbers to tell their stories. But not every reporter is trained to find and work with data. For those who want to dive into investigative journalism which often depends on complicated data, learning the skills to clean and analyze statistical information is a crucial part of the job. That is the focus of this episode of Stats+Stories with guest Austin Fast.",,274
259,12/29/2022,Talking to a Statistical Knight ,Bernard Silverman,57:52:00,"2,397",Special,Long,Denise,United Kingdom,Zoom,https://statsandstories.net/methods/talking-to-a-statistical-knight,"Sir Bernard Silverman is an eminent British Statistician whose career has spanned academia, central government, and public office. He will discuss his wide-ranging career in statistics with Professor Denise Lievesley, herself a distinguished British social statistician. He was President of the Royal Statistical Society in 2010 before stepping down to become Chief Scientific Adviser to the Home Office until 2017. Since 2018, Sir Bernard has been a part-time Professor of Modern Slavery Statistics at the University of Nottingham and also has a portfolio of roles in Government, as chair of the Geospatial Commission, the Technology Advisory Panel to the Investigatory Powers Commissioner, and the Methodological Assurance Panel for the Census.  He was awarded a knighthood in 2018 for public service and services to science.",,273
258,12/22/2022,Inclusive Variables,"Dooti Roy, Suzanne Thornton",5:36:00,"1,966",Methods,Short,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/inclusive-variables,"Measurement accuracy is something all quantitative researchers strive for, as you want to make sure you're measuring what you want to be measuring. When it comes to gathering gender and sex data, though measurements are complicated, beyond simply teasing apart sex and gender, there's also the imperative to ensure the language and measurement tools researchers use are inclusive of all experiences. That's the focus of this episode of stats and stories with guests Dooti Roy and Suzanne Thornton.",,272
257,12/15/2022,A Shared Passion for Math and Statistics,"Pedro Silva, Denise Silva",11:50:00,"1,749",Methods,Short,John,Brazil,Zoom,https://statsandstories.net/methods/a-shared-passion-for-math-and-statistics,"At Stats and Stories, we love to have statisticians and journalists tell stories of their careers and give advice to inspire younger professionals and the next generation about what they can do with the power of data. However, we have yet to have a couple join us to talk about their careers and how statistics in Brazil have progressed over the past 30 years. That's the focus of this episode of Stats and Stories Pedro and Denise Silva.",,271
256,12/8/2022,Analyzing Wildfire Risk,Jessica McCarty,29:06:00,"2,426",Environment,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/environment1/analyzing-wildfire-risk,"With each new wildfire season comes talk that the new season is worse than the last. With recent fires raging in the western u.s., the Australian bush, the Taiga of Siberia, and the forests of France. Many point to climate change as a cause of extreme fires, and scientists are creating more specificated ways of examining that relationship. That is the focus of this episode of Stats+Stories with guest Dr. Jessica McCarty.",,270
255,12/1/2022,Do University Rankings Really Tell Us Anything?,"Elizabeth Gadd, Adrian Barnett",29:03:00,"2,426",Education,Long,"John, Rosemary",United Kingdom,Zoom,https://statsandstories.net/education1/do-university-rankings-really-tell-us-anything,"University rankings are big business with highly ranked universities leveraging their ranking and marketing to prospective students, employees and funders. But the process of generating those rankings may not always be so sound that's the focus of this episode of Stats and Stories with guests Elizabeth Gadd and Adrian Barnett.",,269
254,11/17/2022,Keeping Individual Data Private,Claire McKay Bowen,26:33:00,"2,765",Methods,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/methods/keeping-individual-data-private,"The gathering of statistics of various kinds, is vital to our understanding the world around us. But some stats can communicate sensitive data about individuals even when statistical methods a have been thoughtfully designed. The ability to keep data private is the focus of this episode of Stats+Stories with guest Claire McKay Bowen.",,268
253,11/10/2022,Data Science Pedagogy,Mine Çetinkaya-Rundel,26:36:00,"2,974",Education,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/education1/data-science-pedagogy,"In the past, Introduction to Statistics classes spent a lot of time covering distribution tables, teaching students to run stats by hand and focusing on statistical procedures. However, educators are continually considering new ways to teach stats, and the increasing popularity of data science makes it a more urgent prospect for some. That's the focus of this episode of Stats and Stories with guest Mine Çetinkaya-Rundel.",,267
252,11/3/2022,Political Statistics Beyond Polling,Kevin Reuning,26:21:00,"1,960",Politics,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/politics1/political-statistics-beyond-polling,"Each election cycle experts appear in the news talking about polling data. Many of these experts are political scientists and are often the only contact audiences may have with political scientists. While polling research is important to the field, there are other kinds of quantitative research in political science that can get overlooked. We learned about some of them today on this episode of Stats and Stories with guest Kevin Reuning.
",,266
251,10/27/2022,The Career of the Chief Demographer of the U.S. Census,Howard Hogan,28:31:00,"1,559",Methods,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/methods/the-career-of-the-chief-demographer-of-the-us-census,"Demographers study the way populations change. The things they might focus on include births and deaths, living conditions, and age distributions. In the United States, population changes are tracked nationally by the Census Bureau. A conversation with the retired chief demographer of the U.S Census Bureau with Howard Hogan is the focus of this episode of Stats+Stories.",,265
250,10/20/2022,Statistics Behind the Headlines Contest: Announcement,,3:19:00,"1,587",Special,Special,"John, Rosemary",United States,Studio,,"Submit your entry into the Stats+Stories 250th episode celebration contest via email at statsandstories@miamioh.edu or on Twitter by following @statsandstories and tweeting at us with a link to your story and what you would do to correct its errors in 50 words or less. Winners will receive a signed copy of John and Rosemary's new book, ""Statistics Behind the Headlines"", as well as a Stats+Stories branded coffee mug, and more along with a chance to be on the show! Submit your entries by October 31st and we will announce a winner on the first episode of November.",,264
249,10/13/2022,Conducting a National Survey,"Pedro Silva, Denise Silva",26:31:00,"1,750",Methods,Long,John,Brazil,Zoom,https://statsandstories.net/methods/conducting-a-national-survey,"At Stats and Stories, we love to have statisticians and journalists tell stories of their careers and give advice to inspire younger professionals and the next generation about what they can do with the power of data. However, we have yet to have a couple join us to talk about their careers and how statistics in Brazil have progressed over the past 30 years. That's the focus of this episode of Stats and Stories Pedro and Denise Silva.",,263
248,10/6/2022,The Etymology of the Word Statistics,Wallace Ferguson,23:42:00,"1,831",Methods,Long,"John, Rosemary",United Kingdom,Zoom,https://statsandstories.net/methods/the-etymology-of-the-word-statistics,"In the late 1600s, a book was published satirizing politics in Europe. Published two decades after the end of the 30 Years' War, it focuses on the power of the Holy Roman Empire. That book's impact on statistics is the focus of this episode of stats and stories, with guest Wallace Ferguson.",,262
247,9/29/2022,Inclusive Data Collection,"Dooti Roy, Suzanne Thornton",27:31:00,"1,845",Methods,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/inclusive-data-collection,"Measurement accuracy is something all quantitative researchers strive for, as you want to make sure you're measuring what you want to be measuring. When it comes to gathering gender and sex data, though measurements are complicated, beyond simply teasing apart sex and gender, there's also the imperative to ensure the language and measurement tools researchers use are inclusive of all experiences. That's the focus of this episode of stats and stories with guests Dooti Roy and Suzanne Thornton.",,261
246,9/22/2022,The Third Thirty Years of Life,Dawn Carr,8:42:00,"1,507",Health,Short,"John, Rosemary",United States,Studio,https://statsandstories.net/society1/the-third-thirty-years-of-life,"Retirement is a threshold - crossing a finish line of sorts. As a new emeritus professor. this is at the front of my mind. Our guest today knows and has studied, this third age of life; a beginning of all kinds of new activities personal, professional, and more. The third age of life is the focus of this episode of Stats and Short Stories with guest Dawn C. Carr.",,260
245,9/15/2022,A Dog’s Impact on Loneliness,Dawn Carr,25:12:00,"1,825",Health,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/society1/the-third-thirty-years-of-life,"At the COVID pandemic’s seeming height, social media were filled with images and stories of people adopting pets. Individuals who might not have had time for a dog or a cat before lockdown suddenly did. Needing to walk a dog also gave people a reason to leave their homes at regular intervals. For some older adults with dogs, those regular strolls around the neighborhood may have helped keep them from having increased feelings of loneliness. That’s the focus of this episode of Stats and Stories with guest Dawn Carr.",,259
244,9/8/2022,The Impact of College Vaccine Mandates,Riley Acton,24:36:00,"1,821",Education,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/education1/the-impact-of-college-vaccine-mandates,"Last academic year colleges and universities across the US struggled with whether to mandate COVID vaccinations for their students. While colleges often require vaccines, the political controversy surrounding the COVID shots made adopting a vaccine policy a complicated undertaking. But according to one study, it had a profound impact on the national COVID death toll last fall. That's the focus of this episode of Stats and Stories with guest Riley Acton.",,258
243,9/1/2022,A Half Century of Worker Health,Paul Schulte,28:24:00,"1,841",Health,Long,"John, Regina",United States,Zoom,https://statsandstories.net/society1/a-half-decade-of-worker-health,"Some important milestones have passed during the pandemic blur of the last few years. The 50th anniversary of the National Institute for Occupational Safety and Health (NIOSH) was one. Created by the Occupational Safety and Health (OSH) Act of 1970. NIOSH, one of the Centers for Disease Control and Prevention (CDC), was established as a “separate and independent research program to create objective scientific research findings in the field of occupational safety and health.”  Today’s episode of Stats+Stories with guest Dr. Paul Schulte.",,257
242,8/11/2022,Benford's Law and Election Fraud,David McCune,24:12:00,"2,072",Politics,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/politics1/benfords-law-and-election-fraud,"The issue of voter fraud has taken up increasing amounts of the public’s imagination since the 2020 election. Spurred in part by claims from former U. S. President Donald Trump that the election was stolen from him. On their face, some of the claims of fraud seem irrational. Others however require a bit of statistical investigation before they can be fully debunked. That’s the focus of this episode of Stats+Stories with guest Dr. David McCune.",,256
